tuberculosis,D03.383.129.308.080
tuberculosis,Y03.020
tuberculosis,D02.705
tuberculosis,D02.455.426.559.847.149.700
tuberculosis,Y03.020
tuberculosis,D03.633.100.473
tuberculosis,D03.633.100.473
tuberculosis,D03.633.100.473
tuberculosis,D04.210.500.365.415.248
tuberculosis,Y03.020
tuberculosis,D02.455.426.559.847.149
tuberculosis,D02.455.849.291
tuberculosis,D02.540
tuberculosis,D02.092.782.258.368.257
tuberculosis,Y03.020
tuberculosis,D02.092.782.258.368.257
tuberculosis,Y03.020
tuberculosis,D02.092.782.258.368.257
tuberculosis,Y03.020
tuberculosis,D02.092.782.258.368.257
tuberculosis,Y03.020
tuberculosis,D02.092.782.258.368.257
tuberculosis,Y03.020
tuberculosis,D03.383.129.308
tuberculosis,D02.455.849.919.530.733
tuberculosis,Y03.020
tuberculosis,D02.455.426.392.368.367
tuberculosis,D02.455.426.559.389.097.175
tuberculosis,D02.455.426.559.389.097.175
tuberculosis,D01.625.062.500
tuberculosis,D10.251.355.325
